Name,Transition,Namespace/PodName,NodeName,pod_state_filter,diff,from_unix,to_unix
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-wjslj, pc-tbed-tpu-08023.cern.ch, MatchAll, 0, 1654680048, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-lxr8j, pc-tbed-tpu-08023.cern.ch, MatchAll, 0, 1654680048, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-2c4qg, pc-tbed-k8s-02.cern.ch, MatchAll, 1000, 1654680047, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-w6hbr, pc-tbed-k8s-01.cern.ch, MatchAll, 0, 1654680047, 1654680047
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-nqtd8, pc-tbed-tpu-08020.cern.ch, MatchAll, 0, 1654680048, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-pnk9t, pc-tbed-tpu-08023.cern.ch, MatchAll, 1000, 1654680047, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-lzj7n, pc-tbed-tpu-08023.cern.ch, MatchAll, 0, 1654680048, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-cthp8, pc-tbed-k8s-01.cern.ch, MatchAll, 1000, 1654680047, 1654680048
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-wstqq, pc-tbed-k8s-01.cern.ch, MatchAll, 0, 1654680047, 1654680047
create_to_schedule, {create schedule 0s}, test-thug0b-1/latency-deployment-0-5f6455489f-sdj9p, pc-tbed-tpu-08019.cern.ch, MatchAll, 0, 1654680048, 1654680048
